id;question;question_type;expected_filenames;split;answer_hint;notes;sumber
G049;;;;;;Isi dengan corpus skripsimu;
G050;;;;;;Isi dengan corpus skripsimu;
G051;;;;;;Isi dengan corpus skripsimu;
G052;;;;;;Isi dengan corpus skripsimu;
G053;;;;;;Isi dengan corpus skripsimu;
G054;;;;;;Isi dengan corpus skripsimu;
G055;;;;;;Isi dengan corpus skripsimu;
G056;;;;;;Isi dengan corpus skripsimu;
G057;;;;;;Isi dengan corpus skripsimu;
G058;;;;;;Isi dengan corpus skripsimu;
G059;;;;;;Isi dengan corpus skripsimu;
G060;;;;;;Isi dengan corpus skripsimu;
